time,open,high,low,close,volume
2020-12-08 14:30:00,216.545,216.7,216.3601,216.639,371024
2020-12-08 14:15:00,216.56,216.74,216.42,216.5471,385889
2020-12-08 14:00:00,216.88,216.88,216.39,216.57,365624
2020-12-08 13:45:00,216.65,216.95,216.65,216.8918,380968
2020-12-08 13:30:00,216.8,216.9,216.52,216.65,702469
2020-12-08 13:15:00,216.19,216.88,216.12,216.8199,701407
2020-12-08 13:00:00,216.09,216.3,215.86,216.18,446935
2020-12-08 12:45:00,216.27,216.27,216.0,216.09,407679
2020-12-08 12:30:00,215.86,216.29,215.86,216.25,484944
2020-12-08 12:15:00,215.97,216.36,215.8,215.86,740590
2020-12-08 12:00:00,215.43,216.03,215.3,215.96,812888
2020-12-08 11:45:00,214.9,215.52,214.83,215.42,739251
2020-12-08 11:30:00,214.7301,215.15,214.68,214.88,792960
2020-12-08 11:15:00,214.8136,214.925,214.48,214.74,581430
2020-12-08 11:00:00,214.82,214.965,214.57,214.82,679573
2020-12-08 10:45:00,213.802,214.82,213.6701,214.81,816152
2020-12-08 10:30:00,214.33,214.33,213.26,213.8225,835808
2020-12-08 10:15:00,213.51,214.48,213.4,214.325,973748
2020-12-08 10:00:00,213.58,213.67,212.89,213.53,990733
2020-12-08 09:45:00,213.97,214.99,213.08,213.58,1793299
2020-12-08 09:30:00,213.72,214.21,213.7,214.07,28757
2020-12-08 09:15:00,213.6545,213.75,213.52,213.71,9037
2020-12-08 09:00:00,213.5551,213.7,213.5,213.62,5239
2020-12-08 08:45:00,213.61,213.75,213.53,213.53,16178
2020-12-08 08:30:00,213.57,213.7628,213.51,213.61,5979
2020-12-08 08:15:00,213.5669,213.78,213.41,213.55,15994
2020-12-08 08:00:00,213.55,213.55,213.34,213.47,2656
2020-12-08 07:45:00,213.64,213.75,213.5,213.61,4822
2020-12-08 07:30:00,213.64,213.68,213.64,213.68,1405
2020-12-08 07:15:00,213.78,213.78,213.58,213.58,3898
2020-12-08 07:00:00,213.9,214.1,213.78,213.78,4438
2020-12-08 06:45:00,214.14,214.2,213.93,214.0,1972
2020-12-08 06:30:00,214.0,214.0,214.0,214.0,931
2020-12-08 06:15:00,214.11,214.24,214.1,214.24,1260
2020-12-08 06:00:00,214.36,214.36,214.36,214.36,371
2020-12-08 05:45:00,214.3,214.36,214.3,214.36,449
2020-12-08 05:30:00,214.15,214.15,214.15,214.15,236
2020-12-08 05:00:00,214.18,214.18,214.18,214.18,251
2020-12-08 04:45:00,214.3,214.3,214.04,214.04,1317
2020-12-08 04:30:00,214.3,214.3,214.3,214.3,635
2020-12-08 04:15:00,214.5,214.5,214.3,214.3,6331
2020-12-07 20:00:00,213.7,213.7899,213.7,213.7,5819
2020-12-07 19:45:00,213.8,213.8,213.8,213.8,150
2020-12-07 19:30:00,213.8,213.8,213.75,213.8,437
2020-12-07 19:15:00,213.8,213.8,213.67,213.7,7503
2020-12-07 19:00:00,213.95,213.95,213.7,213.7,3034
2020-12-07 18:45:00,213.88,213.99,213.88,213.99,2547
2020-12-07 18:30:00,213.88,213.88,213.88,213.88,741
2020-12-07 18:15:00,213.84,213.86,213.84,213.86,815
2020-12-07 18:00:00,213.9,213.9,213.8,213.8,357
2020-12-07 17:45:00,213.73,213.9,213.73,213.9,874
2020-12-07 17:30:00,213.8,213.9,213.7301,213.7301,2152
2020-12-07 17:15:00,213.7,213.8,213.7,213.7,1560
2020-12-07 17:00:00,213.83,213.88,213.65,213.7,6504
2020-12-07 16:45:00,214.14,214.14,213.86,214.01,9014
2020-12-07 16:30:00,214.09,214.29,214.09,214.15,11099
2020-12-07 16:15:00,214.29,214.32,214.0,214.09,3895143
2020-12-07 16:00:00,213.45,214.33,213.03,214.32,2367828
2020-12-07 15:45:00,213.7741,213.8185,213.34,213.452,510341
2020-12-07 15:30:00,213.55,213.89,213.54,213.7817,389357
2020-12-07 15:15:00,213.6,213.74,213.456,213.5409,433345
2020-12-07 15:00:00,213.61,213.74,213.55,213.6,398601
2020-12-07 14:45:00,213.47,213.63,213.4,213.62,292296
2020-12-07 14:30:00,213.3,213.6,213.22,213.47,415825
2020-12-07 14:15:00,213.36,213.4,213.08,213.3,380733
2020-12-07 14:00:00,213.04,213.48,213.0,213.3718,430946
2020-12-07 13:45:00,213.27,213.3899,212.99,213.035,508510
2020-12-07 13:30:00,213.28,213.4499,213.2,213.28,447206
2020-12-07 13:15:00,213.68,213.76,213.23,213.2832,499954
2020-12-07 13:00:00,213.925,214.08,213.67,213.685,459238
2020-12-07 12:45:00,213.86,213.95,213.623,213.93,422034
2020-12-07 12:30:00,213.56,213.88,213.46,213.86,435433
2020-12-07 12:15:00,213.82,213.82,213.4,213.565,566012
2020-12-07 12:00:00,213.9501,214.09,213.75,213.83,512742
2020-12-07 11:45:00,214.09,214.12,213.77,213.96,499920
2020-12-07 11:30:00,214.15,214.285,214.0,214.09,398685
2020-12-07 11:15:00,213.79,214.27,213.72,214.14,553433
2020-12-07 11:00:00,213.9759,214.1738,213.77,213.795,647596
2020-12-07 10:45:00,214.42,214.69,213.84,213.98,724218
2020-12-07 10:30:00,213.93,214.91,213.8,214.43,958115
2020-12-07 10:15:00,215.08,215.29,213.81,213.93,998223
2020-12-07 10:00:00,215.01,215.16,214.601,215.08,878799
2020-12-07 09:45:00,214.37,215.54,214.12,215.01,1862414
2020-12-07 09:30:00,214.74,214.77,214.41,214.41,20211
2020-12-07 09:15:00,214.67,214.78,214.52,214.6,13609
2020-12-07 09:00:00,214.5749,214.8,214.5749,214.8,10221
2020-12-07 08:45:00,214.6514,214.7,214.54,214.65,7334
2020-12-07 08:30:00,214.69,214.81,214.63,214.78,7756
2020-12-07 08:15:00,214.95,215.2,214.71,214.71,18077
2020-12-07 08:00:00,214.95,214.96,214.8,214.95,5277
2020-12-07 07:45:00,215.09,215.09,214.86,214.9,8861
2020-12-07 07:30:00,215.18,215.2,215.06,215.06,7173
2020-12-07 07:15:00,215.65,215.74,215.04,215.2,36464
